excel_row,allocation_seq,movement_class,source_category,allocation_amount,target_account_id,target_account_code,target_account_name,map_reason
73,1,payment,5.01.001 - Salarios - Operacao,2602.63,106,7.1.001,Salarios - Operacao,explicit_code_map
74,1,payment,7.01.001 - Salarios - Adm/Coml,1667.8,152,8.1.001,Salarios - Adm/Coml,explicit_code_map
75,1,payment,5.01.001 - Salarios - Operacao,2378.68,106,7.1.001,Salarios - Operacao,explicit_code_map
76,1,payment,5.01.001 - Salarios - Operacao,2602.63,106,7.1.001,Salarios - Operacao,explicit_code_map
77,1,payment,5.01.001 - Salarios - Operacao,2310.52,106,7.1.001,Salarios - Operacao,explicit_code_map
78,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,2427.9,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
79,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,49.98,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
80,1,payment,5.01.001 - Salarios - Operacao,348.52,106,7.1.001,Salarios - Operacao,explicit_code_map
81,1,payment,6.01.004 - ISS Sobre Vendas,828.61,96,4.01.004,ISS Sobre Vendas,explicit_code_map
82,1,payment,6.01.002 - ISS Retido NF,170.54,94,4.01.002,ISS Retido NF,explicit_code_map
83,1,payment,7.05.002 - Taxas e Impostos Bancarios,5.88,192,8.5.002,Taxas e Impostos Bancarios,explicit_code_map
84,1,receipt,3.01.001 - Receita de Serviços Prestados,25438.86,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
84,2,receipt,6.01.001 - Simples Nacional,1271.94,93,4.01.001,Simples Nacional,explicit_code_map
85,1,receipt,3.01.001 - Receita de Serviços Prestados,9974.9,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
86,1,receipt,3.01.001 - Receita de Serviços Prestados,6612.46,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
86,2,receipt,6.01.001 - Simples Nacional,330.62,93,4.01.001,Simples Nacional,explicit_code_map
87,1,receipt,3.01.001 - Receita de Serviços Prestados,4334.47,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
87,2,receipt,6.01.001 - Simples Nacional,216.72,93,4.01.001,Simples Nacional,explicit_code_map
88,1,receipt,3.01.001 - Receita de Serviços Prestados,2660.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
89,1,receipt,3.01.001 - Receita de Serviços Prestados,2312.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
90,1,receipt,3.01.001 - Receita de Serviços Prestados,1385.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
91,1,receipt,999.01 - Rec - Contas de Compensação,14889.18,,,,
92,1,receipt,3.01.001 - Receita de Serviços Prestados,5867.33,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
93,1,payment,5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,1127.37,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
94,1,receipt,3.01.001 - Receita de Serviços Prestados,4494.35,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
94,2,receipt,6.01.001 - Simples Nacional,95.73,93,4.01.001,Simples Nacional,explicit_code_map
95,1,receipt,3.01.001 - Receita de Serviços Prestados,4000.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
95,2,receipt,6.01.001 - Simples Nacional,85.2,93,4.01.001,Simples Nacional,explicit_code_map
96,1,receipt,3.01.001 - Receita de Serviços Prestados,5700.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
97,1,payment,7.04.999 - Outras Despesas Tributarias,461.55,189,8.4.002,Outras Despesas Tributarias,explicit_code_map
98,1,payment,5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,151.78,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
99,1,payment,5.01.012 - PJ - OPERACAO,6371.73,117,7.1.012,PJ - OPERACAO,explicit_code_map
100,1,payment,5.01.012 - PJ - OPERACAO,10000.0,117,7.1.012,PJ - OPERACAO,explicit_code_map
101,1,payment,5.02.002 - Locacao de Veiculos - Operacao,2000.0,122,7.2.002,Locacao de Veiculos - Operacao,explicit_code_map
102,1,payment,5.02.002 - Locacao de Veiculos - Operacao,2559.7,122,7.2.002,Locacao de Veiculos - Operacao,explicit_code_map
103,1,payment,4.01.001 - Insumos - Quimicos,6896.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
104,1,payment,4.01.001 - Insumos - Quimicos,11248.47,100,6.1.001,Insumos - Quimicos,explicit_code_map
105,1,payment,4.01.001 - Insumos - Quimicos,7211.16,100,6.1.001,Insumos - Quimicos,explicit_code_map
106,1,payment,8.02.001 - Compra de Equipamentos Operacionais,7514.78,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
107,1,payment,8.02.001 - Compra de Equipamentos Operacionais,821.65,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
108,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.28,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
109,1,receipt,3.02.001 - Receita de Venda de Mercadorias,3726.0,82,3.02.001,Receita de Vendas Mercadorias,explicit_code_map
110,1,receipt,3.02.001 - Receita de Venda de Mercadorias,1656.0,82,3.02.001,Receita de Vendas Mercadorias,explicit_code_map
111,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,835.94,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
112,1,payment,5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,1127.38,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
113,1,payment,7.03.012 - Assessoria / Consultoria de Gestao,6000.0,183,8.3.012,Assessoria / Consultoria de Gestao,explicit_code_map
114,1,payment,5.05.999 - Outros Custos Operacionais,85.98,149,7.5.007,Outros Custos Operacionais,explicit_code_map
115,1,receipt,3.01.001 - Receita de Serviços Prestados,3515.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
116,1,payment,4.01.001 - Insumos - Quimicos,150.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
117,1,payment,4.01.002 - Insumos - Reagentes,1854.69,101,6.1.002,Insumos - Reagentes,explicit_code_map
118,1,payment,5.05.999 - Outros Custos Operacionais,91.9,149,7.5.007,Outros Custos Operacionais,explicit_code_map
119,1,payment,5.05.999 - Outros Custos Operacionais,45.99,149,7.5.007,Outros Custos Operacionais,explicit_code_map
120,1,payment,5.01.005 - Saude - Operacao,426.0,110,7.1.005,Saude - Operacao,explicit_code_map
121,1,payment,4.01.001 - Insumos - Quimicos,375.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
122,1,payment,4.01.002 - Insumos - Reagentes,400.0,101,6.1.002,Insumos - Reagentes,explicit_code_map
123,1,receipt,3.01.001 - Receita de Serviços Prestados,15056.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
123,2,receipt,6.01.001 - Simples Nacional,752.8,93,4.01.001,Simples Nacional,explicit_code_map
124,1,receipt,3.01.001 - Receita de Serviços Prestados,8153.6,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
124,2,receipt,6.01.001 - Simples Nacional,407.68,93,4.01.001,Simples Nacional,explicit_code_map
125,1,payment,8.02.001 - Compra de Equipamentos Operacionais,13800.0,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
126,1,receipt,3.01.001 - Receita de Serviços Prestados,9836.21,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
127,1,payment,5.01.005 - Saude - Operacao,704.0,110,7.1.005,Saude - Operacao,explicit_code_map
128,1,payment,5.05.999 - Outros Custos Operacionais,2875.0,149,7.5.007,Outros Custos Operacionais,explicit_code_map
129,1,payment,4.01.001 - Insumos - Quimicos,14460.39,100,6.1.001,Insumos - Quimicos,explicit_code_map
130,1,payment,7.03.013 - Assessoria / Consultoria Juridica,4000.0,184,8.3.013,Assessoria / Consultoria Juridica,explicit_code_map
131,1,payment,7.03.010 - Sistema de Informacao,159.2,181,8.3.010,Sistema de Informacao,explicit_code_map
132,1,payment,5.05.005 - Manutenção de Poços,1000.0,147,7.5.005,Manutenção de Poços,explicit_code_map
133,1,payment,7.02.004 - Despesas com Viagens - Comercial,1373.22,169,8.2.004,Despesas com Viagens - Comercial,explicit_code_map
134,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,913.61,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
135,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,75.08,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
136,1,payment,6.01.003 - ICMS Sobre Vendas,17892.84,95,4.01.003,ICMS Sobre Vendas,explicit_code_map
137,1,payment,4.01.001 - Insumos - Quimicos,420.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
138,1,payment,5.05.999 - Outros Custos Operacionais,102.7,149,7.5.007,Outros Custos Operacionais,explicit_code_map
139,1,payment,7.01.003 - Alimentacao - Adm/Coml,16.55,154,8.1.003,Alimentacao - Adm/Coml,explicit_code_map
140,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.04,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
141,1,receipt,3.01.001 - Receita de Serviços Prestados,22025.69,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
142,1,receipt,3.01.001 - Receita de Serviços Prestados,10176.4,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
143,1,receipt,3.01.001 - Receita de Serviços Prestados,6923.07,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
144,1,receipt,3.01.001 - Receita de Serviços Prestados,3325.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
145,1,payment,5.02.999 - Outros Gastos com Veiculos - Operacao,422.4,129,7.2.009,Outros Gastos com Veiculos - Operacao,explicit_code_map
146,1,payment,5.05.999 - Outros Custos Operacionais,43.51,149,7.5.007,Outros Custos Operacionais,explicit_code_map
147,1,payment,5.01.004 - Transporte - Operacao,16.91,109,7.1.004,Transporte - Operacao,explicit_code_map
148,1,payment,5.04.001 - Alguel Imoveis - Operacao,950.0,136,7.4.001,Alguel Imoveis - Operacao,explicit_code_map
149,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.03,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
150,1,payment,5.05.999 - Outros Custos Operacionais,887.0,149,7.5.007,Outros Custos Operacionais,explicit_code_map
151,1,payment,4.01.001 - Insumos - Quimicos,30.36,100,6.1.001,Insumos - Quimicos,explicit_code_map
152,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.04,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
153,1,payment,5.02.002 - Locacao de Veiculos - Operacao,1700.0,122,7.2.002,Locacao de Veiculos - Operacao,explicit_code_map
154,1,receipt,3.01.001 - Receita de Serviços Prestados,4000.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
154,2,receipt,6.01.001 - Simples Nacional,100.0,93,4.01.001,Simples Nacional,explicit_code_map
155,1,payment,4.01.001 - Insumos - Quimicos,584.6,100,6.1.001,Insumos - Quimicos,explicit_code_map
156,1,payment,5.05.999 - Outros Custos Operacionais,77.67,149,7.5.007,Outros Custos Operacionais,explicit_code_map
157,1,payment,5.05.005 - Manutenção de Poços,1000.0,147,7.5.005,Manutenção de Poços,explicit_code_map
158,1,payment,5.01.004 - Transporte - Operacao,23.2,109,7.1.004,Transporte - Operacao,explicit_code_map
159,1,payment,5.01.004 - Transporte - Operacao,21.34,109,7.1.004,Transporte - Operacao,explicit_code_map
160,1,receipt,3.01.001 - Receita de Serviços Prestados,10961.28,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
